IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
168.93.214.151,57350,true,KIX,亚太,大阪,117 ms,0 kB/s
50.114.113.137,15454,true,KIX,亚太,大阪,117 ms,0 kB/s
168.93.214.214,38944,true,KIX,亚太,大阪,120 ms,0 kB/s
166.88.2.174,10349,true,KIX,亚太,大阪,116 ms,0 kB/s
193.247.144.184,21625,true,LHR,欧洲,英国伦敦,138 ms,0 kB/s
23.27.13.190,28022,true,LHR,欧洲,英国伦敦,138 ms,0 kB/s
216.173.66.213,47344,true,LHR,欧洲,英国伦敦,133 ms,0 kB/s
23.27.125.134,39738,true,EWR,北美洲,美国纽瓦克,68 ms,0 kB/s
216.173.66.56,41026,true,LHR,欧洲,英国伦敦,133 ms,0 kB/s
136.0.10.24,3939,true,IAD,北美洲,美国阿什伯恩,60 ms,0 kB/s
166.88.54.112,52902,true,LHR,欧洲,英国伦敦,138 ms,0 kB/s
166.88.73.142,31514,true,LHR,欧洲,英国伦敦,138 ms,0 kB/s
103.179.143.217,52677,true,LHR,欧洲,英国伦敦,133 ms,0 kB/s
216.173.66.177,51653,true,LHR,欧洲,英国伦敦,134 ms,0 kB/s
166.0.132.90,58317,true,CDG,欧洲,法国巴黎,140 ms,0 kB/s
91.218.183.189,18551,true,LHR,欧洲,英国伦敦,132 ms,0 kB/s
23.27.51.193,53828,true,EWR,北美洲,美国纽瓦克,64 ms,0 kB/s
23.27.0.105,11447,true,HKG,亚太,香港,142 ms,0 kB/s
166.0.132.111,22665,true,CDG,欧洲,法国巴黎,142 ms,0 kB/s
91.218.183.182,51225,true,LHR,欧洲,英国伦敦,134 ms,0 kB/s
166.0.132.26,14130,true,CDG,欧洲,法国巴黎,148 ms,0 kB/s
136.0.9.31,2050,true,LHR,欧洲,英国伦敦,138 ms,0 kB/s
108.165.147.82,44527,true,HKG,亚太,香港,142 ms,0 kB/s
154.91.0.217,955,true,LHR,欧洲,英国伦敦,134 ms,0 kB/s
103.179.143.206,34442,true,LHR,欧洲,英国伦敦,138 ms,0 kB/s
166.88.54.33,14789,true,LHR,欧洲,英国伦敦,134 ms,0 kB/s
198.20.133.171,19001,true,HKG,亚太,香港,142 ms,0 kB/s
154.81.220.90,13530,true,LHR,欧洲,英国伦敦,138 ms,0 kB/s
166.88.73.175,27208,true,LHR,欧洲,英国伦敦,134 ms,0 kB/s
108.165.255.181,443,true,HKG,亚太,香港,141 ms,0 kB/s
23.27.0.208,30214,true,HKG,亚太,香港,142 ms,0 kB/s
23.27.20.142,48537,true,LHR,欧洲,英国伦敦,137 ms,0 kB/s
108.165.255.158,49963,true,HKG,亚太,香港,142 ms,0 kB/s
166.0.150.150,52230,true,CDG,欧洲,法国巴黎,143 ms,0 kB/s
198.105.127.143,55207,true,LHR,欧洲,英国伦敦,135 ms,0 kB/s
166.0.132.145,17400,true,CDG,欧洲,法国巴黎,143 ms,0 kB/s
166.88.167.206,30715,true,LHR,欧洲,英国伦敦,134 ms,0 kB/s
23.27.13.252,25349,true,LHR,欧洲,英国伦敦,134 ms,0 kB/s
166.88.134.135,43039,true,LHR,欧洲,英国伦敦,133 ms,0 kB/s
23.27.20.244,13896,true,LHR,欧洲,英国伦敦,133 ms,0 kB/s
216.173.66.101,53475,true,LHR,欧洲,英国伦敦,132 ms,0 kB/s
23.27.99.53,52460,true,SYD,大洋洲,澳大利亚悉尼,160 ms,0 kB/s
23.27.99.53,59662,true,SYD,大洋洲,澳大利亚悉尼,160 ms,0 kB/s
166.0.150.205,40133,true,CDG,欧洲,法国巴黎,132 ms,0 kB/s
142.111.77.179,443,true,FRA,欧洲,德国法兰克福,155 ms,0 kB/s
23.27.99.53,45852,true,SYD,大洋洲,澳大利亚悉尼,159 ms,0 kB/s
23.27.99.53,37098,true,SYD,大洋洲,澳大利亚悉尼,159 ms,0 kB/s
23.27.99.53,42134,true,SYD,大洋洲,澳大利亚悉尼,160 ms,0 kB/s
23.27.99.53,45467,true,SYD,大洋洲,澳大利亚悉尼,159 ms,0 kB/s
23.27.99.53,50525,true,SYD,大洋洲,澳大利亚悉尼,159 ms,0 kB/s
23.27.99.192,12580,true,SYD,大洋洲,澳大利亚悉尼,159 ms,0 kB/s
23.27.99.53,30417,true,SYD,大洋洲,澳大利亚悉尼,160 ms,0 kB/s
156.227.0.240,59671,true,FRA,欧洲,德国法兰克福,150 ms,0 kB/s
23.27.25.75,12648,true,FRA,欧洲,德国法兰克福,155 ms,0 kB/s
23.27.99.53,22404,true,SYD,大洋洲,澳大利亚悉尼,160 ms,0 kB/s
23.27.99.53,46439,true,SYD,大洋洲,澳大利亚悉尼,160 ms,0 kB/s
156.227.0.186,14344,true,FRA,欧洲,德国法兰克福,154 ms,0 kB/s
23.27.99.53,26819,true,SYD,大洋洲,澳大利亚悉尼,160 ms,0 kB/s
156.227.0.182,39738,true,FRA,欧洲,德国法兰克福,151 ms,0 kB/s
23.27.99.53,58664,true,SYD,大洋洲,澳大利亚悉尼,160 ms,0 kB/s
166.88.132.42,44426,true,FRA,欧洲,德国法兰克福,154 ms,0 kB/s
50.114.59.239,5324,true,HKG,亚太,香港,142 ms,0 kB/s
23.27.48.128,35385,true,HKG,亚太,香港,190 ms,0 kB/s
166.88.54.164,12175,true,LHR,欧洲,英国伦敦,145 ms,0 kB/s
23.27.98.123,17496,true,CGK,亚太,印度尼西亚雅加达,195 ms,0 kB/s
108.165.155.188,11363,true,HKG,亚太,香港,197 ms,0 kB/s
23.27.169.141,15581,true,NRT,亚太,日本东京,105 ms,0 kB/s
142.111.15.100,50779,true,CGK,亚太,印度尼西亚雅加达,193 ms,0 kB/s
23.27.98.133,43141,true,CGK,亚太,印度尼西亚雅加达,201 ms,0 kB/s
23.27.48.90,4431,true,HKG,亚太,香港,143 ms,0 kB/s
166.88.11.3,39738,true,HKG,亚太,香港,188 ms,0 kB/s
166.88.2.3,15107,true,KIX,亚太,大阪,117 ms,0 kB/s
23.27.51.44,13571,true,EWR,北美洲,美国纽瓦克,62 ms,0 kB/s
136.0.10.29,44557,true,IAD,北美洲,美国阿什伯恩,68 ms,0 kB/s
166.88.35.66,48145,true,KUL,亚太,马来西亚吉隆坡,246 ms,0 kB/s
23.27.53.248,46715,true,KUL,亚太,马来西亚吉隆坡,247 ms,0 kB/s
38.246.73.49,32305,true,KUL,亚太,马来西亚吉隆坡,251 ms,0 kB/s
38.246.73.124,443,true,KUL,亚太,马来西亚吉隆坡,253 ms,0 kB/s
168.93.198.182,11955,true,KUL,亚太,马来西亚吉隆坡,245 ms,0 kB/s
168.93.198.158,17163,true,KUL,亚太,马来西亚吉隆坡,246 ms,0 kB/s
108.165.177.149,443,true,KUL,亚太,马来西亚吉隆坡,254 ms,0 kB/s
45.195.76.7,54144,true,KUL,亚太,马来西亚吉隆坡,247 ms,0 kB/s
136.0.254.229,53882,true,KUL,亚太,马来西亚吉隆坡,245 ms,0 kB/s
142.111.146.61,23333,true,KUL,亚太,马来西亚吉隆坡,252 ms,0 kB/s
23.27.53.227,443,true,KUL,亚太,马来西亚吉隆坡,241 ms,0 kB/s
23.27.199.212,49716,true,KUL,亚太,马来西亚吉隆坡,250 ms,0 kB/s
155.254.60.17,443,true,KUL,亚太,马来西亚吉隆坡,247 ms,0 kB/s
168.93.198.158,17172,true,KUL,亚太,马来西亚吉隆坡,242 ms,0 kB/s
50.114.5.178,55143,true,KUL,亚太,马来西亚吉隆坡,256 ms,0 kB/s
23.27.199.212,42379,true,KUL,亚太,马来西亚吉隆坡,243 ms,0 kB/s
96.126.190.25,50589,true,KUL,亚太,马来西亚吉隆坡,240 ms,0 kB/s
198.20.153.238,48548,true,KUL,亚太,马来西亚吉隆坡,245 ms,0 kB/s
142.111.146.223,21696,true,KUL,亚太,马来西亚吉隆坡,244 ms,0 kB/s
45.195.69.77,49267,true,KUL,亚太,马来西亚吉隆坡,247 ms,0 kB/s
166.88.35.131,19644,true,KUL,亚太,马来西亚吉隆坡,240 ms,0 kB/s
23.27.240.145,13331,true,KUL,亚太,马来西亚吉隆坡,253 ms,0 kB/s
38.246.73.30,18059,true,KUL,亚太,马来西亚吉隆坡,251 ms,0 kB/s
166.88.35.138,33486,true,KUL,亚太,马来西亚吉隆坡,243 ms,0 kB/s
38.211.230.2,53423,true,KUL,亚太,马来西亚吉隆坡,242 ms,0 kB/s
166.88.57.244,39738,true,KUL,亚太,马来西亚吉隆坡,249 ms,0 kB/s
23.27.28.35,443,true,KUL,亚太,马来西亚吉隆坡,246 ms,0 kB/s
23.27.53.253,443,true,KUL,亚太,马来西亚吉隆坡,242 ms,0 kB/s
50.114.5.90,22783,true,KUL,亚太,马来西亚吉隆坡,248 ms,0 kB/s
166.88.35.55,27015,true,KUL,亚太,马来西亚吉隆坡,249 ms,0 kB/s
38.211.230.2,24641,true,KUL,亚太,马来西亚吉隆坡,252 ms,0 kB/s
23.27.53.119,35209,true,KUL,亚太,马来西亚吉隆坡,247 ms,0 kB/s
38.211.230.2,47958,true,KUL,亚太,马来西亚吉隆坡,247 ms,0 kB/s
168.93.198.38,14694,true,KUL,亚太,马来西亚吉隆坡,244 ms,0 kB/s
168.93.198.158,10429,true,KUL,亚太,马来西亚吉隆坡,248 ms,0 kB/s
166.0.253.187,443,true,KUL,亚太,马来西亚吉隆坡,245 ms,0 kB/s
23.27.199.113,443,true,KUL,亚太,马来西亚吉隆坡,261 ms,0 kB/s
142.111.146.92,27790,true,KUL,亚太,马来西亚吉隆坡,247 ms,0 kB/s
168.93.198.103,14049,true,KUL,亚太,马来西亚吉隆坡,254 ms,0 kB/s
45.134.36.154,33305,true,KUL,亚太,马来西亚吉隆坡,245 ms,0 kB/s
166.0.253.135,58907,true,KUL,亚太,马来西亚吉隆坡,240 ms,0 kB/s
23.26.204.39,25580,true,KUL,亚太,马来西亚吉隆坡,241 ms,0 kB/s
23.27.28.16,31387,true,KUL,亚太,马来西亚吉隆坡,246 ms,0 kB/s
205.186.64.43,48970,true,KUL,亚太,马来西亚吉隆坡,254 ms,0 kB/s
38.211.230.2,31287,true,KUL,亚太,马来西亚吉隆坡,250 ms,0 kB/s
166.88.7.222,25126,true,KUL,亚太,马来西亚吉隆坡,255 ms,0 kB/s
155.254.60.5,27015,true,KUL,亚太,马来西亚吉隆坡,244 ms,0 kB/s
96.126.190.36,12496,true,KUL,亚太,马来西亚吉隆坡,244 ms,0 kB/s
45.194.27.122,24052,true,KUL,亚太,马来西亚吉隆坡,241 ms,0 kB/s
166.88.35.150,16839,true,KUL,亚太,马来西亚吉隆坡,237 ms,0 kB/s
23.27.28.204,37908,true,KUL,亚太,马来西亚吉隆坡,243 ms,0 kB/s
23.27.28.175,53796,true,KUL,亚太,马来西亚吉隆坡,231 ms,0 kB/s
45.134.36.7,31356,true,KUL,亚太,马来西亚吉隆坡,249 ms,0 kB/s
216.173.67.246,42800,true,KUL,亚太,马来西亚吉隆坡,245 ms,0 kB/s
38.211.230.56,50701,true,KUL,亚太,马来西亚吉隆坡,250 ms,0 kB/s
166.88.194.163,26627,true,KUL,亚太,马来西亚吉隆坡,248 ms,0 kB/s
205.186.64.216,5899,true,KUL,亚太,马来西亚吉隆坡,245 ms,0 kB/s
96.126.190.36,35680,true,KUL,亚太,马来西亚吉隆坡,249 ms,0 kB/s
108.165.177.110,15584,true,KUL,亚太,马来西亚吉隆坡,245 ms,0 kB/s
38.211.230.2,52645,true,KUL,亚太,马来西亚吉隆坡,244 ms,0 kB/s
38.211.230.139,30370,true,KUL,亚太,马来西亚吉隆坡,237 ms,0 kB/s
23.27.28.136,49923,true,KUL,亚太,马来西亚吉隆坡,242 ms,0 kB/s
23.27.53.80,12536,true,KUL,亚太,马来西亚吉隆坡,238 ms,0 kB/s
166.0.253.231,9884,true,KUL,亚太,马来西亚吉隆坡,249 ms,0 kB/s
23.27.199.6,23729,true,KUL,亚太,马来西亚吉隆坡,239 ms,0 kB/s
166.88.7.48,49544,true,KUL,亚太,马来西亚吉隆坡,243 ms,0 kB/s
23.27.199.212,32420,true,KUL,亚太,马来西亚吉隆坡,241 ms,0 kB/s
198.20.153.112,443,true,KUL,亚太,马来西亚吉隆坡,252 ms,0 kB/s
38.211.230.32,61864,true,KUL,亚太,马来西亚吉隆坡,242 ms,0 kB/s
23.27.199.139,17601,true,KUL,亚太,马来西亚吉隆坡,246 ms,0 kB/s
142.111.146.106,29725,true,KUL,亚太,马来西亚吉隆坡,239 ms,0 kB/s
50.114.5.83,587,true,SIN,亚太,新加坡,233 ms,0 kB/s
168.93.214.168,33768,true,KIX,亚太,大阪,118 ms,0 kB/s
45.195.69.185,15597,true,KUL,亚太,马来西亚吉隆坡,247 ms,0 kB/s
166.0.253.231,19000,true,SIN,亚太,新加坡,253 ms,0 kB/s
38.211.230.108,33406,true,SIN,亚太,新加坡,251 ms,0 kB/s
142.111.146.171,65443,true,KUL,亚太,马来西亚吉隆坡,247 ms,0 kB/s
166.0.253.190,20834,true,SIN,亚太,新加坡,257 ms,0 kB/s
50.114.5.119,26555,true,SIN,亚太,新加坡,243 ms,0 kB/s
166.88.141.134,54168,true,HKG,亚太,香港,188 ms,0 kB/s
50.114.59.186,42283,true,TPE,亚太,台北,188 ms,0 kB/s
50.114.5.39,587,true,SIN,亚太,新加坡,253 ms,0 kB/s
23.27.199.121,32002,true,SIN,亚太,新加坡,245 ms,0 kB/s
23.27.28.175,587,true,SIN,亚太,新加坡,241 ms,0 kB/s
108.165.177.35,20628,true,SIN,亚太,新加坡,244 ms,0 kB/s
198.20.153.70,38152,true,KUL,亚太,马来西亚吉隆坡,238 ms,0 kB/s
142.111.146.171,64380,true,KUL,亚太,马来西亚吉隆坡,249 ms,0 kB/s
23.27.48.238,34682,true,HKG,亚太,香港,180 ms,0 kB/s
166.88.141.134,20156,true,TPE,亚太,台北,188 ms,0 kB/s
23.27.48.33,58526,true,TPE,亚太,台北,188 ms,0 kB/s
108.165.100.78,443,true,HKG,亚太,香港,188 ms,0 kB/s
136.0.10.209,26557,true,EWR,北美洲,美国纽瓦克,64 ms,0 kB/s
23.27.48.33,41979,true,TPE,亚太,台北,188 ms,0 kB/s
166.88.61.87,8443,true,HKG,亚太,香港,188 ms,0 kB/s
50.114.59.54,16257,true,HKG,亚太,香港,187 ms,0 kB/s
23.27.141.124,21773,true,EWR,北美洲,美国纽瓦克,62 ms,0 kB/s
23.27.141.78,27015,true,EWR,北美洲,美国纽瓦克,66 ms,0 kB/s
166.88.141.134,30397,true,TPE,亚太,台北,180 ms,0 kB/s
136.0.11.82,35585,true,KIX,亚太,大阪,116 ms,0 kB/s
216.173.65.96,61769,true,LAX,北美洲,美国洛杉矶,1 ms,0 kB/s
108.165.64.141,8443,true,SYD,大洋洲,澳大利亚悉尼,159 ms,0 kB/s
205.186.64.126,27432,true,KUL,亚太,马来西亚吉隆坡,241 ms,0 kB/s
142.111.135.109,48182,true,LAX,北美洲,美国洛杉矶,1 ms,0 kB/s
166.88.134.137,25648,true,LHR,欧洲,英国伦敦,134 ms,0 kB/s
